Player,Age,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Y/R,R/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,FP
Alvin Kamara,29,14.375,10.5,192.875,595.25,3.125,26.25,46.125,42.75,4.525,41.0625,13.575000000000001,91.0,71.625,8.350000000000001,4.9875,78.3625,6.525,264.5,5.5375,1442.625,10.625,1.5,175.0
Kyren Williams,24,12.666666666666666,9.0,193.0,154.66666666666666,1.6666666666666667,6.666666666666667,49.03333333333333,21.666666666666668,4.366666666666666,12.066666666666665,14.1,33.333333333333336,25.0,6.733333333333334,1.9000000000000001,75.56666666666666,5.066666666666666,218.0,4.766666666666667,1015.3333333333334,10.333333333333334,2.6666666666666665,274.25000000000006
Chuba Hubbard,25,16.0,9.75,188.75,187.25,0.5,8.0,38.875,30.75,4.275,11.674999999999999,11.774999999999999,38.0,30.25,7.3,1.9,79.55,5.825,219.0,4.65,981.0,6.0,2.0,208.65
Breece Hall,23,13.333333333333334,11.333333333333334,170.66666666666666,430.6666666666667,2.6666666666666665,17.0,37.43333333333333,62.0,4.833333333333333,32.03333333333334,12.533333333333333,67.33333333333333,50.666666666666664,9.266666666666667,3.6,72.10000000000001,6.533333333333334,221.33333333333334,5.766666666666666,1208.3333333333333,7.333333333333333,3.0,324.25
Chase Brown,24,14.0,5.0,136.5,258.0,2.5,13.5,52.8,44.0,4.199999999999999,17.75,9.0,40.0,34.0,8.9,2.3,88.19999999999999,7.95,170.5,5.3,842.5,6.0,1.5,303.1666666666667
D'Andre Swift,25,14.6,9.6,169.2,359.6,1.6,14.0,45.9,35.2,4.52,25.240000000000002,11.34,61.2,47.4,7.58,3.3200000000000003,77.84,5.9,216.6,5.220000000000001,1097.2,7.4,2.2,197.43333333333337
Rico Dowdle,26,13.0,3.75,82.75,98.25,1.25,4.75,47.0,27.0,4.033333333333333,6.15,5.199999999999999,17.75,14.0,7.45,0.875,78.44999999999999,5.8,96.75,4.333333333333333,464.25,2.25,0.75,81.70833333333333
Najee Harris,26,17.0,17.0,274.25,287.25,1.5,15.0,48.45,27.0,3.9499999999999997,16.9,16.15,58.25,45.0,6.424999999999999,2.65,76.85000000000001,4.925000000000001,319.25,4.25,1365.25,8.5,1.25,291.75
Joe Mixon,28,13.875,12.75,227.0,306.0,1.75,12.125,50.8875,38.625,4.025,22.224999999999998,16.5875,49.875,39.875,7.750000000000001,2.9375,80.375,6.2125,266.875,4.5625,1234.5,9.25,0.75,147.59722222222223
Tony Pollard,27,15.833333333333334,6.5,170.33333333333334,259.5,0.8333333333333334,11.166666666666666,43.6,40.166666666666664,4.75,16.35,10.649999999999999,47.5,36.166666666666664,7.266666666666667,2.2666666666666666,75.78333333333335,5.5,206.5,5.216666666666668,1042.8333333333333,5.5,1.3333333333333333,158.47619047619045
James Cook,25,16.333333333333332,9.666666666666666,177.66666666666666,294.3333333333333,2.3333333333333335,11.666666666666666,52.06666666666666,39.0,5.1000000000000005,17.866666666666667,10.799999999999999,41.333333333333336,32.333333333333336,8.933333333333332,1.9666666666666668,77.10000000000001,6.866666666666666,210.0,5.7,1173.6666666666667,9.0,2.0,314.0
