Player,Age,Team,Pos,G,GS,Att,Yds,TD,Rec,Tgt,Y/R,Touch,YScm,RRTD,Fmb,FP
Alexander Mattison,26,LVR,RB,15.2,5.2,123.2,186.0,1.4,25.2,7.479999999999999,32.8,148.4,651.6,4.2,1.0,113.56000000000002
Tucker Kraft,24,GNB,TE,17.0,17.0,3.0,6.0,0.0,50.0,14.1,70.0,53.0,713.0,7.0,1.0,161.3
Tank Dell,25,HOU,WR,14.0,10.0,9.0,43.0,0.0,51.0,13.1,81.0,60.0,710.0,3.0,0.0,140.0
Mark Andrews,29,BAL,TE,14.666666666666666,8.666666666666666,1.5,2.1666666666666665,0.0,67.0,12.333333333333334,97.0,68.5,831.8333333333334,8.0,1.1666666666666667,195.85
Hunter Henry,30,NWE,TE,13.0,11.125,0.0,0.0,0.0,44.875,11.385714285714286,65.375,44.875,506.125,4.0,0.25,118.98750000000001
Mike Gesicki,29,CIN,TE,16.5,6.166666666666667,0.0,0.0,0.0,50.5,10.85,77.66666666666667,50.5,554.0,3.6666666666666665,0.3333333333333333,127.23333333333333
Zach Ertz,34,WAS,TE,13.0,10.846153846153847,0.15384615384615385,0.6153846153846154,0.0,62.53846153846154,10.099999999999998,92.84615384615384,62.69230769230769,645.3846153846154,4.153846153846154,0.46153846153846156,151.07692307692307
Pat Freiermuth,26,PIT,TE,15.0,9.333333333333334,0.0,0.0,0.0,53.333333333333336,10.4,74.33333333333333,53.333333333333336,564.3333333333334,3.6666666666666665,1.0,129.76666666666668
Christian Watson,25,GNB,WR,12.0,12.0,4.0,17.0,0.0,28.5,18.25,53.0,32.5,538.0,3.5,0.5,102.30000000000001
Demario Douglas,24,NWE,WR,17.0,7.0,3.0,16.0,0.0,66.0,9.4,87.0,69.0,637.0,3.0,1.0,145.7
Jalen Hurts,26,PHI,QB,15.5,15.5,152.75,0.0,0.0,0.0,,0.25,152.75,694.75,13.0,9.0,129.47500000000002
Adam Thielen,34,CAR,WR,14.6,12.6,2.2,17.8,0.1,67.7,12.219999999999999,96.2,69.9,835.2,6.4,0.9,187.82000000000002
Justice Hill,27,BAL,RB,14.5,1.25,48.0,166.75,1.0,21.75,6.325000000000001,26.75,69.75,401.0,2.0,0.75,72.35
Jalen Tolbert,25,DAL,WR,17.0,10.5,0.0,0.0,0.0,35.5,12.3,57.5,35.5,439.0,4.5,0.5,105.4
DeAndre Hopkins,32,KAN,WR,13.692307692307692,12.384615384615385,0.46153846153846156,1.6153846153846154,0.0,76.0,12.715384615384616,121.07692307692308,76.46153846153847,984.1538461538462,6.615384615384615,1.0,212.10769230769233
DeAndre Hopkins,32,KAN,WR,13.692307692307692,12.384615384615385,0.46153846153846156,1.6153846153846154,0.0,76.0,12.715384615384616,121.07692307692308,76.46153846153847,984.1538461538462,6.615384615384615,1.0,212.10769230769233
DeAndre Hopkins,32,KAN,WR,13.692307692307692,12.384615384615385,0.46153846153846156,1.6153846153846154,0.0,76.0,12.715384615384616,121.07692307692308,76.46153846153847,984.1538461538462,6.615384615384615,1.0,212.10769230769233
Kyle Pitts,24,ATL,TE,14.666666666666666,13.333333333333334,0.3333333333333333,-1.3333333333333333,0.0,42.666666666666664,12.699999999999998,74.33333333333333,43.0,540.3333333333334,3.0,0.0,114.7
Romeo Doubs,24,GNB,WR,15.0,14.0,0.0,0.0,0.0,52.5,12.25,84.0,52.5,637.5,6.0,0.5,151.25
Tyler Lockett,32,SEA,WR,16.11111111111111,14.0,3.888888888888889,27.22222222222222,0.1111111111111111,67.77777777777777,13.233333333333334,96.55555555555556,71.66666666666667,908.3333333333334,6.222222222222222,0.6666666666666666,194.61111111111111
Cade Otton,25,TAM,TE,15.5,15.5,0.5,-2.0,0.0,53.0,9.95,77.0,53.5,525.5,4.0,1.5,126.55000000000001
Darius Slayton,27,NYG,WR,15.6,11.4,1.0,0.6,0.0,42.2,14.76,75.0,43.2,632.0,2.6,1.0,119.0
Kayshon Boutte,22,NWE,WR,15.0,13.0,0.0,0.0,0.0,43.0,13.7,68.0,43.0,589.0,3.0,0.0,119.9
Josh Palmer,25,LAC,WR,13.666666666666666,8.0,0.6666666666666666,3.3333333333333335,0.0,49.666666666666664,13.666666666666666,77.66666666666667,50.333333333333336,648.0,2.0,0.6666666666666666,125.13333333333334
Tre Tucker,23,LVR,WR,17.0,14.0,9.0,44.0,1.0,47.0,11.5,81.0,56.0,583.0,4.0,0.0,129.3
Chris Godwin,28,TAM,WR,13.571428571428571,11.714285714285714,1.8571428571428572,10.571428571428571,0.2857142857142857,77.85714285714286,12.514285714285714,108.71428571428571,79.71428571428571,973.5714285714286,5.714285714285714,1.4285714285714286,206.64285714285714
Ameer Abdullah,31,LVR,RB,11.692307692307692,1.3846153846153846,31.0,123.23076923076923,0.8461538461538461,16.846153846153847,7.86923076923077,22.076923076923077,47.84615384615385,243.53846153846155,1.3076923076923077,0.5384615384615384,47.96923076923077
Jaleel McLaughlin,24,DEN,RB,16.0,5.0,113.0,76.0,2.0,24.0,3.2,27.0,137.0,572.0,3.0,1.0,97.2
Kyler Murray,27,ARI,QB,13.2,13.2,82.0,1.4,0.0,0.0,,0.0,82.0,496.6,5.4,9.0,64.06
Tutu Atwell,25,LAR,WR,15.333333333333334,7.666666666666667,5.333333333333333,24.0,0.3333333333333333,33.0,14.133333333333333,54.666666666666664,38.333333333333336,471.6666666666667,1.6666666666666667,0.0,90.16666666666667
Devin Singletary,27,NYG,RB,16.2,12.6,170.0,217.8,0.4,33.4,6.460000000000001,42.8,203.4,960.0,4.8,2.4,153.39999999999998
Michael Wilson,24,ARI,WR,16.0,13.0,1.0,7.0,0.0,47.0,11.7,71.0,48.0,555.0,4.0,1.0,124.5
Emanuel Wilson,25,GNB,RB,17.0,0.0,103.0,48.0,1.0,11.0,4.4,14.0,114.0,550.0,5.0,0.0,96.0
Calvin Austin III,25,PIT,WR,17.0,8.0,0.0,0.0,0.0,36.0,15.2,58.0,36.0,548.0,4.0,1.0,112.80000000000001
Juwan Johnson,28,NOR,TE,15.0,7.5,0.0,0.0,0.0,35.5,11.299999999999999,53.0,35.5,395.75,4.5,0.5,101.075
Amari Cooper,30,BUF,WR,12.846153846153847,11.76923076923077,1.0,4.923076923076923,0.0,58.30769230769231,13.676923076923078,94.23076923076923,59.30769230769231,813.7692307692307,5.3076923076923075,0.7692307692307693,169.99230769230766
